yourlist:M201912106746803381A1F0E0DB47453E0216320D314B872,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
TCF4,A0A1B0GWD5,A0A1B0GWD5_HUMAN,unreviewed,Transcription factor 4,TCF4,Homo sapiens (Human),541
TCF4,A0A1B0GXH5,A0A1B0GXH5_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),118
TCF4,A0A590UK26,A0A590UK26_HUMAN,unreviewed,Transcription factor 4,TCF4,Homo sapiens (Human),670
TCF4,E9PH57,E9PH57_HUMAN,unreviewed,"Transcription factor 4 (Transcription factor 4, isoform CRA_e)",TCF4 hCG_1811800,Homo sapiens (Human),773
TCF4,G0LNT1,G0LNT1_HUMAN,unreviewed,"Transcription factor 4, isoform M (Fragment)",TCF4,Homo sapiens (Human),52
TCF4,G0LNT2,G0LNT2_HUMAN,unreviewed,"Transcription factor 4, isoform L (Fragment)",TCF4,Homo sapiens (Human),83
TCF4,G0LNT3,G0LNT3_HUMAN,unreviewed,"Transcription factor 4, isoform C (Fragment)",TCF4,Homo sapiens (Human),20
TCF4,G0LNT4,G0LNT4_HUMAN,unreviewed,"Transcription factor 4 (Transcription factor 4, isoform B) (Fragment)",TCF4,Homo sapiens (Human),139
TCF4,G0LNT5,G0LNT5_HUMAN,unreviewed,"Transcription factor 4, isoform E (Fragment)",TCF4,Homo sapiens (Human),32
TCF4,G0LNT6,G0LNT6_HUMAN,unreviewed,"Transcription factor 4, isoform R (Fragment)",TCF4,Homo sapiens (Human),100
TCF4,G0LNT7,G0LNT7_HUMAN,unreviewed,"Transcription factor 4 (Transcription factor 4, isoform D) (Fragment)",TCF4,Homo sapiens (Human),119
TCF4,G0LNT8,G0LNT8_HUMAN,unreviewed,"Transcription factor 4, isoform D (Fragment)",TCF4,Homo sapiens (Human),107
TCF4,H3BMC8,H3BMC8_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),135
TCF4,H3BME8,H3BME8_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),124
TCF4,H3BML7,H3BML7_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),61
TCF4,H3BNI2,H3BNI2_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),56
TCF4,H3BNZ2,H3BNZ2_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),163
TCF4,H3BP59,H3BP59_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),165
TCF4,H3BPG3,H3BPG3_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),162
TCF4,H3BPJ7,H3BPJ7_HUMAN,unreviewed,Transcription factor 4,TCF4,Homo sapiens (Human),642
TCF4,H3BRF7,H3BRF7_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),179
TCF4,H3BT24,H3BT24_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),287
TCF4,H3BT95,H3BT95_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),168
TCF4,H3BTC3,H3BTC3_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),158
TCF4,H3BTM9,H3BTM9_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),134
TCF4,H3BTP3,H3BTP3_HUMAN,unreviewed,Transcription factor 4,TCF4,Homo sapiens (Human),677
TCF4,H3BTZ0,H3BTZ0_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),280
TCF4,H3BUQ3,H3BUQ3_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),146
TCF4,K7ESI6,K7ESI6_HUMAN,unreviewed,Transcription factor 4 (Fragment),TCF4,Homo sapiens (Human),166
TCF4,P15884,ITF2_HUMAN,reviewed,Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2),TCF4 BHLHB19 ITF2 SEF2,Homo sapiens (Human),667
TCF4,Q9NQB0,TF7L2_HUMAN,reviewed,Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4),TCF7L2 TCF4,Homo sapiens (Human),619
FECH,A0A499FJN5,A0A499FJN5_HUMAN,unreviewed,Ferrochelatase (EC 4.99.1.1),FECH,Homo sapiens (Human),351
FECH,K7EJM8,K7EJM8_HUMAN,unreviewed,"Ferrochelatase, mitochondrial",FECH,Homo sapiens (Human),111
FECH,K7EJX5,K7EJX5_HUMAN,unreviewed,Ferrochelatase (EC 4.99.1.1) (Fragment),FECH,Homo sapiens (Human),143
FECH,K7ELX4,K7ELX4_HUMAN,unreviewed,"Ferrochelatase, mitochondrial (Fragment)",FECH,Homo sapiens (Human),326
FECH,P22830,HEMH_HUMAN,reviewed,"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)",FECH,Homo sapiens (Human),423
FECH,Q8TD50,Q8TD50_HUMAN,unreviewed,Ferrochelatase (Fragment),FECH,Homo sapiens (Human),49
ATP8B1,A0A2R8Y5C5,A0A2R8Y5C5_HUMAN,unreviewed,Phospholipid-transporting ATPase (EC 7.6.2.1),ATP8B1,Homo sapiens (Human),946
ATP8B1,A0A3B3IRQ1,A0A3B3IRQ1_HUMAN,unreviewed,Phospholipid-transporting ATPase (EC 7.6.2.1) (Fragment),ATP8B1,Homo sapiens (Human),498
ATP8B1,K7EQC4,K7EQC4_HUMAN,unreviewed,Phospholipid-transporting ATPase IC,ATP8B1,Homo sapiens (Human),61
ATP8B1,K7ESK2,K7ESK2_HUMAN,unreviewed,Phospholipid-transporting ATPase IC (Fragment),ATP8B1,Homo sapiens (Human),11
ATP8B1,O43520,AT8B1_HUMAN,reviewed,Phospholipid-transporting ATPase IC (EC 7.6.2.1) (ATPase class I type 8B member 1) (Familial intrahepatic cholestasis type 1) (P4-ATPase flippase complex alpha subunit ATP8B1),ATP8B1 ATPIC FIC1 PFIC,Homo sapiens (Human),1251
RAX,A0A127AXB3,A0A127AXB3_HUMAN,unreviewed,Retinal homeobox protein Rx (Fragment),RAX,Homo sapiens (Human),165
RAX,A0A127AXF0,A0A127AXF0_HUMAN,unreviewed,Retinal homeobox protein Rx (Fragment),RAX,Homo sapiens (Human),77
RAX,A0A127AXH5,A0A127AXH5_HUMAN,unreviewed,Retinal homeobox protein Rx (Fragment),RAX,Homo sapiens (Human),165
RAX,A0A127AYS6,A0A127AYS6_HUMAN,unreviewed,Retinal homeobox protein Rx (Fragment),RAX,Homo sapiens (Human),96
RAX,G3V2C8,G3V2C8_HUMAN,unreviewed,Retinal homeobox protein Rx (Fragment),RAX,Homo sapiens (Human),74
"PRKRA,RAX",O75569,PRKRA_HUMAN,reviewed,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)",PRKRA PACT RAX HSD-14 HSD14,Homo sapiens (Human),313
RAX,Q9Y2V3,RX_HUMAN,reviewed,Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein),RAX RX,Homo sapiens (Human),346
LMAN1,A0A024R2A7,A0A024R2A7_HUMAN,unreviewed,"Lectin, mannose-binding, 1, isoform CRA_b",LMAN1 hCG_1979190,Homo sapiens (Human),510
LMAN1,A0PJ85,A0PJ85_HUMAN,unreviewed,LMAN1 protein (Fragment),LMAN1,Homo sapiens (Human),311
LMAN1,P49257,LMAN1_HUMAN,reviewed,Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1),LMAN1 ERGIC53 F5F8D,Homo sapiens (Human),510
CCBE1,A0A0A0MS88,A0A0A0MS88_HUMAN,unreviewed,Collagen and calcium-binding EGF domain-containing protein 1,CCBE1,Homo sapiens (Human),336
CCBE1,A0A3B3IRL6,A0A3B3IRL6_HUMAN,unreviewed,Collagen and calcium-binding EGF domain-containing protein 1 (Fragment),CCBE1,Homo sapiens (Human),287
CCBE1,K7EQ81,K7EQ81_HUMAN,unreviewed,Collagen and calcium-binding EGF domain-containing protein 1 (Fragment),CCBE1,Homo sapiens (Human),46
CCBE1,Q6UXH8,CCBE1_HUMAN,reviewed,Collagen and calcium-binding EGF domain-containing protein 1 (Full of fluid protein homolog),CCBE1 KIAA1983 UNQ1921/PRO4395,Homo sapiens (Human),406
MC4R,A0N0W6,A0N0W6_HUMAN,unreviewed,Melanocortin 4 receptor variant,MC4R,Homo sapiens (Human),332
MC4R,A0N0W7,A0N0W7_HUMAN,unreviewed,Melanocortin 4 receptor variant,MC4R,Homo sapiens (Human),332
MC4R,A0N0W8,A0N0W8_HUMAN,unreviewed,Truncated melanocortin 4 receptor variant,MC4R,Homo sapiens (Human),276
MC4R,A0N0W9,A0N0W9_HUMAN,unreviewed,Melanocortin 4 receptor variant,MC4R,Homo sapiens (Human),332
MC4R,K4MTP3,K4MTP3_HUMAN,unreviewed,Mutated melanocortin receptor 4,MC4R,Homo sapiens (Human),332
MC4R,K4MUE5,K4MUE5_HUMAN,unreviewed,Mutated melanocortin receptor 4,MC4R,Homo sapiens (Human),332
MC4R,K4MWA3,K4MWA3_HUMAN,unreviewed,Mutated melanocortin receptor 4,MC4R,Homo sapiens (Human),332
MC4R,K4MWP7,K4MWP7_HUMAN,unreviewed,Mutated melanocortin receptor 4,MC4R,Homo sapiens (Human),306
MC4R,K4N7A9,K4N7A9_HUMAN,unreviewed,Mutated melanocortin receptor 4,MC4R,Homo sapiens (Human),79
MC4R,P32245,MC4R_HUMAN,reviewed,Melanocortin receptor 4 (MC4-R),MC4R,Homo sapiens (Human),332
PIGN,A0A024R2C3,A0A024R2C3_HUMAN,unreviewed,"Phosphatidylinositol glycan, class N, isoform CRA_a",PIGN hCG_34285,Homo sapiens (Human),931
PIGN,A0A1W2PNH8,A0A1W2PNH8_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),911
PIGN,A0A1W2PNQ8,A0A1W2PNQ8_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),847
PIGN,A0A1W2PNR0,A0A1W2PNR0_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),897
PIGN,A0A1W2PNW5,A0A1W2PNW5_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),621
PIGN,A0A1W2PPA0,A0A1W2PPA0_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),525
PIGN,A0A1W2PPB6,A0A1W2PPB6_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),738
PIGN,A0A1W2PPK6,A0A1W2PPK6_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),246
PIGN,A0A1W2PPR7,A0A1W2PPR7_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),797
PIGN,A0A1W2PQ49,A0A1W2PQ49_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),184
PIGN,A0A1W2PQA9,A0A1W2PQA9_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),970
PIGN,A0A1W2PQP4,A0A1W2PQP4_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),870
PIGN,A0A1W2PQR8,A0A1W2PQR8_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),854
PIGN,A0A1W2PQZ1,A0A1W2PQZ1_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),798
PIGN,A0A1W2PR74,A0A1W2PR74_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),751
PIGN,A0A1W2PRH3,A0A1W2PRH3_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),375
PIGN,A0A1W2PS19,A0A1W2PS19_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),936
PIGN,K7EID9,K7EID9_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),140
PIGN,K7EJM6,K7EJM6_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),143
PIGN,K7EL34,K7EL34_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),283
PIGN,K7ELE1,K7ELE1_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),490
PIGN,K7EMD7,K7EMD7_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),395
PIGN,K7ENK2,K7ENK2_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),70
PIGN,K7EPJ2,K7EPJ2_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),391
PIGN,K7EQG0,K7EQG0_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),138
PIGN,K7ERX5,K7ERX5_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1 (Fragment),PIGN,Homo sapiens (Human),83
PIGN,K7ESH9,K7ESH9_HUMAN,unreviewed,GPI ethanolamine phosphate transferase 1,PIGN,Homo sapiens (Human),198
PIGN,O95427,PIGN_HUMAN,reviewed,GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N),PIGN MCD4,Homo sapiens (Human),931
TNFRSF11A,A0A1W2PR41,A0A1W2PR41_HUMAN,unreviewed,Tumor necrosis factor receptor superfamily member 11A,TNFRSF11A,Homo sapiens (Human),263
TNFRSF11A,Q9Y6Q6,TNR11_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),TNFRSF11A RANK,Homo sapiens (Human),616
RTTN,A0A1W2PPP3,A0A1W2PPP3_HUMAN,unreviewed,Rotatin (Fragment),RTTN,Homo sapiens (Human),1102
RTTN,A0A1W2PPP7,A0A1W2PPP7_HUMAN,unreviewed,Rotatin (Fragment),RTTN,Homo sapiens (Human),320
RTTN,A0A1W2PQI7,A0A1W2PQI7_HUMAN,unreviewed,Rotatin,RTTN,Homo sapiens (Human),690
RTTN,A0A1W2PR21,A0A1W2PR21_HUMAN,unreviewed,Rotatin (Fragment),RTTN,Homo sapiens (Human),134
RTTN,A0A1W2PR32,A0A1W2PR32_HUMAN,unreviewed,Rotatin (Fragment),RTTN,Homo sapiens (Human),667
RTTN,A0A1W2PR96,A0A1W2PR96_HUMAN,unreviewed,Rotatin (Fragment),RTTN,Homo sapiens (Human),298
RTTN,J3KSV7,J3KSV7_HUMAN,unreviewed,"Rotatin, isoform CRA_e",RTTN hCG_1810896,Homo sapiens (Human),395
RTTN,J3KT00,J3KT00_HUMAN,unreviewed,Rotatin (Fragment),RTTN,Homo sapiens (Human),669
RTTN,J3KTD2,J3KTD2_HUMAN,unreviewed,Rotatin,RTTN,Homo sapiens (Human),500
RTTN,Q86VV8,RTTN_HUMAN,reviewed,Rotatin,RTTN,Homo sapiens (Human),2226
TSHZ1,A7YF73,A7YF73_HUMAN,unreviewed,TSHZ1 protein (Fragment),TSHZ1,Homo sapiens (Human),722
TSHZ1,H0YKA1,H0YKA1_HUMAN,unreviewed,Teashirt homolog 1 (Fragment),TSHZ1,Homo sapiens (Human),78
TSHZ1,H0YN23,H0YN23_HUMAN,unreviewed,Teashirt homolog 1 (Fragment),TSHZ1,Homo sapiens (Human),276
TSHZ1,Q6ZSZ6,TSH1_HUMAN,reviewed,Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33),TSHZ1 SDCCAG33 TSH1,Homo sapiens (Human),1077
CTDP1,A0A0A0MR03,A0A0A0MR03_HUMAN,unreviewed,RNA polymerase II subunit A C-terminal domain phosphatase,CTDP1,Homo sapiens (Human),842
CTDP1,A0A0J9YWB6,A0A0J9YWB6_HUMAN,unreviewed,RNA polymerase II subunit A C-terminal domain phosphatase (Fragment),CTDP1,Homo sapiens (Human),805
CTDP1,A0A0J9YWJ4,A0A0J9YWJ4_HUMAN,unreviewed,RNA polymerase II subunit A C-terminal domain phosphatase (Fragment),CTDP1,Homo sapiens (Human),737
CTDP1,K7EJD2,K7EJD2_HUMAN,unreviewed,RNA polymerase II subunit A C-terminal domain phosphatase (Fragment),CTDP1,Homo sapiens (Human),799
CTDP1,K7EPW4,K7EPW4_HUMAN,unreviewed,RNA polymerase II subunit A C-terminal domain phosphatase (Fragment),CTDP1,Homo sapiens (Human),78
CTDP1,Q9Y5B0,CTDP1_HUMAN,reviewed,RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase),CTDP1 FCP1,Homo sapiens (Human),961
ELANE,P08246,ELNE_HUMAN,reviewed,Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase),ELANE ELA2,Homo sapiens (Human),267
KISS1R,K7EQ45,K7EQ45_HUMAN,unreviewed,KiSS-1 receptor (Fragment),KISS1R,Homo sapiens (Human),97
KISS1R,Q969F8,KISSR_HUMAN,reviewed,KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (hOT7T175) (Hypogonadotropin-1) (Kisspeptins receptor) (Metastin receptor),KISS1R AXOR12 GPR54,Homo sapiens (Human),398
KISS1R,U3KQ86,U3KQ86_HUMAN,unreviewed,KiSS-1 receptor,KISS1R,Homo sapiens (Human),226
STK11,A0A087WT72,A0A087WT72_HUMAN,unreviewed,Serine/threonine-protein kinase STK11 (Fragment),STK11,Homo sapiens (Human),21
STK11,A0A0S2Z4C7,A0A0S2Z4C7_HUMAN,unreviewed,Serine/threonine kinase 11 isoform 3 (Fragment),STK11,Homo sapiens (Human),135
STK11,A0A0S2Z4D1,A0A0S2Z4D1_HUMAN,unreviewed,Serine/threonine kinase 11 isoform 1 (Fragment),STK11,Homo sapiens (Human),433
STK11,A0A1B0GUW2,A0A1B0GUW2_HUMAN,unreviewed,Serine/threonine-protein kinase STK11 (Fragment),STK11,Homo sapiens (Human),43
STK11,D4P556,D4P556_HUMAN,unreviewed,Serine/threonine kinase 11 (Fragment),STK11,Homo sapiens (Human),34
STK11,K7EMR0,K7EMR0_HUMAN,unreviewed,Serine/threonine-protein kinase STK11,STK11,Homo sapiens (Human),101
STK11,K7EP59,K7EP59_HUMAN,unreviewed,Serine/threonine-protein kinase STK11,STK11,Homo sapiens (Human),432
STK11,K7EQN8,K7EQN8_HUMAN,unreviewed,Serine/threonine-protein kinase STK11 (Fragment),STK11,Homo sapiens (Human),153
STK11,Q15831,STK11_HUMAN,reviewed,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),STK11 LKB1 PJS,Homo sapiens (Human),433
STK11,Q5ZEZ1,Q5ZEZ1_HUMAN,unreviewed,Serine/threonine kinase 11 (Fragment),STK11,Homo sapiens (Human),84
STK11,Q9NS52,Q9NS52_HUMAN,unreviewed,STK11 [amino acids 371-433] (Fragment),STK11,Homo sapiens (Human),63
NDUFS7,A0A087WTI3,A0A087WTI3_HUMAN,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,Homo sapiens (Human),214
NDUFS7,A0A087WXF6,A0A087WXF6_HUMAN,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,Homo sapiens (Human),214
NDUFS7,F5GXJ1,F5GXJ1_HUMAN,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,Homo sapiens (Human),236
NDUFS7,F5H5N1,F5H5N1_HUMAN,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,Homo sapiens (Human),182
NDUFS7,F5H736,F5H736_HUMAN,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,Homo sapiens (Human),66
NDUFS7,K7ENU3,K7ENU3_HUMAN,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,Homo sapiens (Human),41
NDUFS7,O75251,NDUS7_HUMAN,reviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)",NDUFS7,Homo sapiens (Human),213
GAMT,A0A1W2PR36,A0A1W2PR36_HUMAN,unreviewed,Guanidinoacetate N-methyltransferase,GAMT,Homo sapiens (Human),213
GAMT,K7EM34,K7EM34_HUMAN,unreviewed,Guanidinoacetate N-methyltransferase (Fragment),GAMT,Homo sapiens (Human),108
GAMT,Q14353,GAMT_HUMAN,reviewed,Guanidinoacetate N-methyltransferase (EC 2.1.1.2),GAMT,Homo sapiens (Human),236
GAMT,V9HWB2,V9HWB2_HUMAN,unreviewed,Guanidinoacetate N-methyltransferase (EC 2.1.1.2),HEL-S-20 GAMT hCG_21569,Homo sapiens (Human),236
ADAT3,C9JFC1,C9JFC1_HUMAN,unreviewed,Probable inactive tRNA-specific adenosine deaminase-like protein 3 (Fragment),ADAT3,Homo sapiens (Human),69
ADAT3,D6W601,D6W601_HUMAN,unreviewed,"HCG22695, isoform CRA_a (Probable inactive tRNA-specific adenosine deaminase-like protein 3)",ADAT3 hCG_22695,Homo sapiens (Human),367
ADAT3,Q96EY9,ADAT3_HUMAN,reviewed,Probable inactive tRNA-specific adenosine deaminase-like protein 3 (tRNA-specific adenosine-34 deaminase subunit ADAT3),ADAT3 TAD3,Homo sapiens (Human),351
AMH,A0A348FVH7,A0A348FVH7_HUMAN,unreviewed,Muellerian-inhibiting factor (Fragment),AMH,Homo sapiens (Human),137
AMH,A0A348FVH8,A0A348FVH8_HUMAN,unreviewed,Muellerian-inhibiting factor (Fragment),AMH,Homo sapiens (Human),219
AMH,P03971,MIS_HUMAN,reviewed,Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS),AMH MIF,Homo sapiens (Human),560
LMNB2,A0A0A7M1X5,A0A0A7M1X5_HUMAN,unreviewed,"Lamin B2, isoform CRA_b (Lamin B3)",LMNB2 hCG_2004338,Homo sapiens (Human),483
LMNB2,Q03252,LMNB2_HUMAN,reviewed,Lamin-B2,LMNB2 LMN2,Homo sapiens (Human),620
GNA11,A0A087WVZ3,A0A087WVZ3_HUMAN,unreviewed,Guanine nucleotide-binding protein subunit alpha-11 (Fragment),GNA11,Homo sapiens (Human),72
GNA11,K7EL62,K7EL62_HUMAN,unreviewed,Guanine nucleotide-binding protein subunit alpha-11 (Fragment),GNA11,Homo sapiens (Human),236
GNA11,P29992,GNA11_HUMAN,reviewed,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha),GNA11 GA11,Homo sapiens (Human),359
GIPC3,A0A2R8Y651,A0A2R8Y651_HUMAN,unreviewed,PDZ domain-containing protein GIPC3,GIPC3,Homo sapiens (Human),1349
GIPC3,Q8TF64,GIPC3_HUMAN,reviewed,PDZ domain-containing protein GIPC3,GIPC3 C19orf64,Homo sapiens (Human),312
RAX2,Q96IS3,RAX2_HUMAN,reviewed,Retina and anterior neural fold homeobox protein 2 (Q50-type retinal homeobox protein) (Retina and anterior neural fold homeobox-like protein 1),RAX2 QRX RAXL1,Homo sapiens (Human),184
MAP2K2,B3KS97,B3KS97_HUMAN,unreviewed,"Mitogen-activated protein kinase kinase 2, isoform CRA_d (cDNA FLJ35806 fis, clone TESTI2005987, highly similar to Dual specificity mitogen-activated protein kinase kinase 2)",MAP2K2 hCG_23544,Homo sapiens (Human),210
MAP2K2,G5E9C7,G5E9C7_HUMAN,unreviewed,"Dual-specificity mitogen-activated protein kinase kinase 2 (Mitogen-activated protein kinase kinase 2, isoform CRA_b)",MAP2K2 hCG_23544,Homo sapiens (Human),303
MAP2K2,M0R1B6,M0R1B6_HUMAN,unreviewed,Dual-specificity mitogen-activated protein kinase kinase 2 (Fragment),MAP2K2,Homo sapiens (Human),104
MAP2K2,P36507,MP2K2_HUMAN,reviewed,Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2),MAP2K2 MEK2 MKK2 PRKMK2,Homo sapiens (Human),400
FUT6,E9PI36,E9PI36_HUMAN,unreviewed,"Alpha-(1,3)-fucosyltransferase 6 (Fragment)",FUT6,Homo sapiens (Human),137
FUT6,E9PJ18,E9PJ18_HUMAN,unreviewed,"Alpha-(1,3)-fucosyltransferase 6 (Fragment)",FUT6,Homo sapiens (Human),44
FUT6,E9PJB4,E9PJB4_HUMAN,unreviewed,"Alpha-(1,3)-fucosyltransferase 6 (Fragment)",FUT6,Homo sapiens (Human),30
FUT6,E9PP56,E9PP56_HUMAN,unreviewed,"Alpha-(1,3)-fucosyltransferase 6 (Fragment)",FUT6,Homo sapiens (Human),66
FUT6,E9PS22,E9PS22_HUMAN,unreviewed,"Alpha-(1,3)-fucosyltransferase 6 (Fragment)",FUT6,Homo sapiens (Human),69
FUT6,P51993,FUT6_HUMAN,reviewed,"Alpha-(1,3)-fucosyltransferase 6 (EC 2.4.1.65) (Fucosyltransferase 6) (Fucosyltransferase VI) (Fuc-TVI) (FucT-VI) (Galactoside 3-L-fucosyltransferase)",FUT6 FCT3A,Homo sapiens (Human),359
FUT6,Q6P7E6,Q6P7E6_HUMAN,unreviewed,"Fucosyltransferase 6 (Alpha (1,3) fucosyltransferase)",FUT6,Homo sapiens (Human),359
NDUFA11,K7EQ77,K7EQ77_HUMAN,unreviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NDUFA11,Homo sapiens (Human),120
NDUFA11,Q86Y39,NDUAB_HUMAN,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7),NDUFA11,Homo sapiens (Human),141
TUBB4A,M0QX14,M0QX14_HUMAN,unreviewed,Tubulin beta-4A chain,TUBB4A,Homo sapiens (Human),110
TUBB4A,M0QY37,M0QY37_HUMAN,unreviewed,Tubulin beta-4A chain,TUBB4A,Homo sapiens (Human),109
TUBB4A,M0QY85,M0QY85_HUMAN,unreviewed,Tubulin beta-4A chain (Fragment),TUBB4A,Homo sapiens (Human),107
TUBB4A,M0QYM7,M0QYM7_HUMAN,unreviewed,Tubulin beta-4A chain (Fragment),TUBB4A,Homo sapiens (Human),160
